名称	描述	状态	启动类型	登录为
Power	管理电源策略和电源策略通知传递。	正在运行	自动	本地系统
Print Spooler	该服务在后台执行打印作业并处理与打印机的交互。如果关闭该服务，则无法进行打印或查看打印机。	正在运行	自动	本地系统
Printer Extensions and Notifications	此服务可打开自定义打印机对话框并处理来自远程打印服务器或打印机的通知。如果你关闭此服务，将无法看到打印机扩展或通知。		手动	本地系统
PrintScanBrokerService	为低原始后台处理程序所需的安全特权操作提供支持。		手动	本地系统
PrintWorkflow_128812	提供对打印工作流应用程序的支持。如果关闭此服务，可能无法成功打印。		手动(触发器启动)	本地系统
Problem Reports Control Panel Support	此服务支持查看、发送和删除“问题报告”控制面板的系统级问题报告。		手动	本地系统
Program Compatibility Assistant Service	此服务为程序兼容性助手(PCA)提供支持。PCA 监视由用户安装和运行的程序，并检测已知兼容性问题。如果停止此服务，PCA 将无法正常运行。	正在运行	自动(延迟启动，触发器启动)	本地系统
Quality Windows Audio Video Experience	优质 Windows 音频视频体验(qWave)是用于 IP 家庭网络上的音频视频(AV)流应用程序的网络平台。通过确保 AV 应用程序的网络服务质量(QoS)，qWave 增强了 AV 流的性能和可靠性。它提供了许可控制机制、运行时监视和实施、应用程序反馈以及流量优先顺序。		手动	本地服务
RaiDrive Filesystem Service	OpenBoxLab Filesystem Bridge Service		禁用	本地系统
RayLink Service	RayLink Service	正在运行	自动	本地系统
Realtek Audio Universal Service	Realtek Audio Universal Service	正在运行	自动	本地系统
ReFS 重复数据删除服务	ReFS 重复数据删除和压缩服务，用于跟踪文件更改并运行计划的优化作业。		手动	本地系统
Remote Access Auto Connection Manager	无论什么时候，当某个程序引用一个远程 DNS 或者 NetBIOS 名称或者地址，就创建一个到远程的连接。		手动	本地系统
Remote Access Connection Manager	管理从这台计算机到 Internet 或其他远程网络的拨号和虚拟专用网络(VPN)连接。如果禁用该项服务，则明确依赖该服务的任何服务都将无法启动。	正在运行	自动	本地系统
Remote Desktop Configuration	远程桌面配置服务(RDCS)负责需要 SYSTEM 上下文的所有远程桌面服务和远程桌面相关的配置和会话维护活动。这些包括每会话临时文件夹、RD 主题和 RD 证书。	正在运行	手动	本地系统
Remote Desktop Services	允许用户以交互方式连接到远程计算机。远程桌面和远程桌面会话主机服务器依赖此服务。若要防止远程使用此计算机，请清除“系统”属性控制面板项目的“远程”选项卡上的复选框。	正在运行	手动	网络服务
Remote Desktop Services UserMode Port Redirector	允许为 RDP 连接重定向打印机/驱动程序/端口	正在运行	手动	本地系统
Remote Procedure Call (RPC)	RPCSS 服务是 COM 和 DCOM 服务器的服务控制管理器。它执行 COM 和 DCOM 服务器的对象激活请求、对象导出程序解析和分布式垃圾回收。如果此服务被停用或禁用，则使用 COM 或 DCOM 的程序将无法正常工作。强烈建议你运行 RPCSS 服务。	正在运行	自动	网络服务
Remote Procedure Call (RPC) Locator	在 Windows 2003 和 Windows 的早期版本中，远程过程调用(RPC)定位器服务可管理 RPC 名称服务数据库。在 Windows Vista 和 Windows 的更新版本中，此服务不提供任何功能，但可用于应用程序兼容性。		手动	网络服务
Remote Registry	使远程用户能修改此计算机上的注册表设置。如果此服务被终止，只有此计算机上的用户才能修改注册表。如果此服务被禁用，任何依赖它的服务将无法启动。		禁用	本地服务
Routing and Remote Access	在局域网以及广域网环境中为企业提供路由服务。		禁用	本地系统
RPC Endpoint Mapper	解析 RPC 接口标识符以传输端点。如果此服务被停止或禁用，使用远程过程调用(RPC)服务的程序将无法正常运行。	正在运行	自动	网络服务
Secondary Logon	在不同凭据下启用启动过程。如果此服务被停止，这种类型的登录访问将不可用。如果此服务被禁用，任何明确依赖它的服务都将不能启动。		手动	本地系统
Secure Socket Tunneling Protocol Service	提供使用 VPN 连接到远程计算机的安全套接字隧道协议(SSTP)的支持。如果该服务被禁用，则用户将无法使用 SSTP 访问远程服务器。	正在运行	手动	本地服务
Security Accounts Manager	启动此服务将向其他服务发出信号: 安全帐户管理器(SAM)已准备就绪，可以接受请求。禁用此服务将导致在 SAM 准备就绪时，无法通知系统中的其他服务，从而可能导致这些服务无法正确启动。不应禁用此服务。	正在运行	自动	本地系统
Sensor Data Service	从各种传感器传送数据		手动(触发器启动)	本地系统
Sensor Monitoring Service	监视各种传感器，以公开数据和适应系统和用户状态。如果此服务停止或禁用，显示器亮度将不根据照明条件进行调节。停止此服务还可能会影响其他系统功能和特性。		手动(触发器启动)	本地服务
Sensor Service	一项用于管理各种传感器的功能的传感器服务。管理传感器的简单设备方向(SDO)和历史记录。加载对设备方向变化进行报告的 SDO 传感器。如果停止或禁用了此服务，则将不会加载 SDO 传感器，因此不会发生自动旋转。来自传感器的历史记录收集也将停止。		手动(触发器启动)	本地系统
Server	支持此计算机通过网络的文件、打印、和命名管道共享。如果服务停止，这些功能不可用。如果服务被禁用，任何直接依赖于此服务的服务将无法启动。	正在运行	自动(触发器启动)	本地系统
Shared PC Account Manager	Manages profiles and accounts on a SharedPC configured device		禁用	本地系统
Shell Hardware Detection	为自动播放硬件事件提供通知。	正在运行	自动	本地系统
Smart Card	管理此计算机对智能卡的取读访问。如果此服务被终止，此计算机将无法取读智能卡。如果此服务被禁用，任何依赖它的服务将无法启动。		手动(触发器启动)	本地服务
Smart Card Device Enumeration Service	为给定会话可访问的所有智能卡读卡器创建软件设备节点。如果已禁用此服务，则 WinRT API 将无法枚举智能卡读卡器。		手动(触发器启动)	本地系统
Smart Card Removal Policy	允许系统配置为移除智能卡时锁定用户桌面		手动	本地系统
SNMP 陷阱	接收本地或远程简单网络管理协议 (SNMP) 代理程序生成的陷阱消息并将消息转发到此计算机上运行的 SNMP 管理程序。如果此服务被停用，此计算机上基于 SNMP 的程序将不会接收 SNMP trap 消息。如果此服务被禁用，任何依赖它的服务将无法启动。		手动	本地服务
Software Protection	启用 Windows 和 Windows 应用程序的数字许可证的下载、安装和实施。如果禁用该服务，操作系统和许可的应用程序可能以通知模式运行。强烈建议你不要禁用软件保护服务。		自动(延迟启动，触发器启动)	网络服务
Spot Verifier	验证潜在的文件系统损坏。		手动(触发器启动)	本地系统
SQL Server VSS Writer	Provides the interface to backup/restore Microsoft SQL server through the Windows VSS infrastructure.		手动	本地系统
SSDP Discovery	当发现了使用 SSDP 协议的网络设备和服务，如 UPnP 设备，同时还报告了运行在本地计算机上使用的 SSDP 设备和服务。如果停止此服务，基于 SSDP 的设备将不会被发现。如果禁用此服务，任何依赖此服务的服务都无法正常启动。	正在运行	手动	本地服务
State Repository Service	为应用程序模型提供所需的基础结构支持。	正在运行	自动	本地系统
Steam Client Service	Steam Client Service monitors and updates Steam content		手动	本地系统
Still Image Acquisition Events	启动与静态映像获取事件关联的应用程序。		手动	本地系统
Storage Service	为存储设置和外部存储扩展提供启用服务	正在运行	自动(延迟启动，触发器启动)	本地系统
Storage Tiers Management	优化系统中所有分层存储空间的存储层中的数据放置。		手动	本地系统
SysMain	维护和提高一段时间内的系统性能。	正在运行	自动	本地系统
System Event Notification Service	监视系统事件并通知订户这些事件的 COM+ 事件系统。	正在运行	自动	本地系统
System Events Broker	协调执行 WinRT 应用程序的后台作业。如果停止或禁用此服务，则可能不会触发后台作业。	正在运行	自动(触发器启动)	本地系统
Tailscale	Connects this computer to others on the Tailscale network.		禁用	本地系统
Task Scheduler	使用户可以在此计算机上配置和计划自动任务。此服务还托管多个 Windows 系统关键任务。如果此服务被停止或禁用，这些任务将无法在计划的时间运行。如果此服务被禁用，则明确依赖它的所有服务将无法启动。	正在运行	自动(触发器启动)	本地系统
TCP/IP NetBIOS Helper	提供 TCP/IP (NetBT) 服务上的 NetBIOS 和网络上客户端的 NetBIOS 名称解析的支持，从而使用户能够共享文件、打印和登录到网络。如果此服务被停用，这些功能可能不可用。如果此服务被禁用，任何依赖它的服务将无法启动。	正在运行	手动(触发器启动)	本地服务
Telephony	提供电话服务 API (TAPI)支持，以便各程序控制本地计算机上的电话服务设备以及通过 LAN 同样运行该服务的服务器上的设备。		手动	网络服务
Text Input Management Service	启用文本输入、表情输入区、触摸键盘、手写和输入法。	正在运行	自动(触发器启动)	本地系统
Themes	为用户提供使用主题管理的体验。	正在运行	自动	本地系统
Thunderbolt(TM) Application Launcher	Launches Thunderbolt(TM) control application	正在运行	自动	本地系统
Thunderbolt(TM) Peer to Peer Shortcut	Thunderbolt(TM) Peer to Peer Shortcut	正在运行	自动	本地系统
Time Broker	协调执行 WinRT 应用程序的后台作业。如果停止或禁用此服务，则可能不会触发后台作业。	正在运行	手动(触发器启动)	本地服务
Udk 用户服务_128812	Shell 组件服务	正在运行	手动	本地系统
UPnP Device Host	允许 UPnP 设备宿主在此计算机上。如果停止此服务，则所有宿主的 UPnP 设备都将停止工作，并且不能添加其他宿主设备。如果禁用此服务，则任何显式依赖于它的服务将都无法启动。		手动	本地服务
User Data Access_128812	提供对结构化用户数据(包括联系人信息、日历、消息和其他内容)的应用访问。如果停止或禁用此服务，使用此数据的应用可能无法正常工作。		手动	本地系统
User Data Storage_128812	处理结构化用户数据(包括联系人信息、日历、消息和其他内容)的存储。如果停止或禁用此服务，使用此数据的应用可能无法正常工作。		手动	本地系统
User Experience Virtualization Service	为应用程序和 OS 设置漫游提供支持		禁用	本地系统
User Manager	用户管理器提供多用户交互所需要的运行时组件。如果停止此服务，某些应用程序可能无法正确运行。	正在运行	自动(触发器启动)	本地系统
User Profile Service	此服务负责加载和卸载用户配置文件。如果已停止或禁用此服务，用户将无法再成功登录或注销，应用在获取用户数据时可能会出问题，而且为接收配置文件事件通知注册的组件将无法接收这些通知。	正在运行	自动	本地系统
Virtual Disk	提供用于磁盘、卷、文件系统和存储阵列的管理服务。		手动	本地系统
Visual Studio Installer Elevation Service	This service is responsible for elevating the Visual Studio Installer.		手动	本地系统
VMware Authorization Service	用于启动和访问虚拟机的授权及身份验证服务。		手动	本地系统
VMware DHCP Service	DHCP service for virtual networks.
VMware NAT Service	Network address translation for virtual networks.
VMware USB Arbitration Service	Arbitration and enumeration of USB devices for virtual machines		手动	本地系统
VMware 自动启动服务	启动时自动打开配置文件中指定的虚拟机电源的服务。		手动	本地系统
Volume Shadow Copy	管理并执行用于备份和其它用途的卷影复制。如果此服务被终止，备份将没有卷影复制，并且备份会失败。如果此服务被禁用，任何依赖它的服务将无法启动。		手动	本地系统
WaaSMedicSvc	<读取描述失败。错误代码: 2 > 	正在运行	手动	本地系统
WalletService	电子钱包客户端使用的主机对象		手动	本地系统
Warp JIT Service	Enables JIT compilation support in d3d10warp.dll for processes in which code generation is disabled.		手动(触发器启动)	本地服务
WdNisSvc	<读取描述失败。错误代码: 2 > 		手动	本地服务
Web 帐户管理器	Web 帐户管理器利用此服务实现应用和服务的单一登录。	正在运行	手动	本地系统
WebClient	使基于 Windows 的程序能创建、访问和修改基于 Internet 的文件。如果此服务被停止，这些功能将不可用。如果此服务被禁用，则明确依赖该服务的任何服务都将无法启动。		手动(触发器启动)	本地服务
Windows Audio	管理基于 Windows 的程序的音频。如果此服务被停止，音频设备和效果将不能正常工作。如果此服务被禁用，任何依赖它的服务将无法启动	正在运行	自动	本地服务
Windows Audio Endpoint Builder	管理 Windows 音频服务的音频设备。如果停止了此服务，音频设备和效果将无法正常工作。如果禁用了此服务，任何明确依赖它的服务将无法启动	正在运行	自动	本地系统
Windows Biometric Service	Windows 生物识别服务使客户端应用程序能够捕获、比较、操纵和存储生物特征数据，而无需直接访问任何生物识别硬件或示例。该服务宿主在某个特权 SVCHOST 进程中。		手动(触发器启动)	本地系统
Windows Camera Frame Server	允许多个客户端从相机设备访问视频帧。		手动(触发器启动)	本地服务
Windows Camera Frame Server Monitor	监视 Windows 相机框架服务器服务的运行状况和状态。		手动(触发器启动)	本地系统
Windows Connect Now - Config Registrar	WCNCSVC 承载 Windows 立即连接配置，该配置是 Microsoft 执行的无线保护设置(WPS)协议。该配置用于配置接入点(AP)或无线设备的无线 LAN 设置。该服务根据需要有计划地启动。		手动	本地服务
Windows Connection Manager	根据电脑当前可用的网络连接选项做出自动连接和断开连接决策，并根据“组策略”设置启用网络连接管理。	正在运行	自动(触发器启动)	本地服务
Windows Defender Advanced Threat Protection Service	Windows Defender Advanced Threat Protection service helps protect against advanced threats by monitoring and reporting security events that happen on the computer.		禁用	本地系统
Windows Defender Firewall	Windows Defender 防火墙通过阻止未授权用户通过 Internet 或网络访问你的计算机来帮助保护计算机。	正在运行	自动	本地服务
Windows Encryption Provider Host Service	Windows Encryption Provider 主机服务代理加密相关功能 - 从第三方加密提供程序到需要评估和应用 EAS 策略的进程。停止此服务将损害连接的邮件帐户已经建立的合规检查		手动(触发器启动)	本地服务
Windows Error Reporting Service	允许在程序停止运行或停止响应时报告错误，并允许提供现有解决方案。还允许为诊断和修复服务生成日志。如果此服务被停止，则错误报告将无法正确运行，而且可能不显示诊断服务和修复的结果。		手动(触发器启动)	本地系统
Windows Event Collector	此服务将管理对支持 WS-Management 协议的远程源中事件的永久订阅。这包括 Windows Vista 事件日志、硬件以及启用 IPMI 的事件源。该服务将转发的事件存储在本地活动日志中。如果停止或禁用此服务，将无法创建事件订阅，并且无法接受转发的事件。		手动	网络服务
Windows Event Log	此服务管理事件和事件日志。它支持日志记录事件、查询事件、订阅事件、归档事件日志以及管理事件元数据。它可以用 XML 和纯文本两种格式显示事件。停止该服务可能危及系统的安全性和可靠性。	正在运行	自动	本地服务
Windows Font Cache Service	通过缓存常用字体数据优化应用程序的性能。如果尚未运行该服务，则应用程序将启动该服务。也可以禁用该服务，但是这样做会降低应用程序性能。	正在运行	自动	本地服务
Windows Image Acquisition (WIA)	为扫描仪和照相机提供图像采集服务	正在运行	自动(触发器启动)	本地服务
Windows Installer	添加、修改和删除作为 Windows Installer 程序包(*.msi、*.msp)提供的应用程序。如果禁用此服务，则任何显式依赖它的服务均将无法启动。		手动	本地系统
Windows Management Instrumentation	提供共同的界面和对象模式以便访问有关操作系统、设备、应用程序和服务的管理信息。如果此服务被终止，多数基于 Windows 的软件将无法正常运行。如果此服务被禁用，任何依赖它的服务将无法启动。	正在运行	自动	本地系统
Windows Media Player Network Sharing Service	使用通用即插即用设备与其他网络播放器和媒体设备共享 Windows 媒体播放器媒体库		手动	网络服务
Windows MIDI 服务	用于 MIDI 1.0 和 MIDI 2.0 消息路由和设备枚举的 Windows MIDI 服务核心服务		手动(触发器启动)	本地服务
Windows Modules Installer	启用 Windows 更新和可选组件的安装、修改和移除。如果此服务被禁用，则此计算机的 Windows 更新的安装或卸载可能会失败。		手动	本地系统
Windows Presentation Foundation Font Cache 3.0.0.0	通过缓存常用的字体数据来优化 Windows Presentation Foundation (WPF) 应用程序的性能。WPF 应用程序将启动此服务(如果尚未启动)。可以禁用此服务，尽管这样做会降低 WPF 应用程序的性能。		手动	本地服务
Windows Push Notifications User Service_128812	此服务托管为本地通知和推送通知提供支持的 Windows 通知平台。支持的通知为磁贴、Toast 和 Raw。	正在运行	自动	本地系统
Windows PushToInstall 服务	为 Microsoft Store 提供基础结构支持。此服务自动启动，如果禁用，则远程安装将无法正常运行。		手动(触发器启动)	本地系统
Windows Remote Management (WS-Management)	Windows 远程管理(WinRM)服务执行 WS-Management 协议来实现远程管理。WS-Management 是用于远程软件和硬件管理的标准 Web 服务协议。WinRM 服务侦听网络上的 WS-Management 请求并对它们进行处理。通过组策略或使用 winrm.cmd 命令行工具的侦听程序，来配置 WinRM 服务，以使其可通过网络侦听。WinRM 服务提供对 WMI 数据的访问并启用事件集合。事件集合及对事件的订阅需要服务处于运行状态。传输 WinRM 消息时使用 HTTP 和 HTTPS 协议。WinRM 服务不依赖于 IIS ，但在同一计算机上预配置为与 IIS 共享端口。WinRM 服务保留 /wsman URL 前缀。若要防止与 IIS 发生冲突，管理员应确保 IIS 上承载的所有网站均不使用 /wsman URL 前缀。	正在运行	自动(延迟启动)	网络服务
Windows Search	为文件、电子邮件和其他内容提供内容索引、属性缓存和搜索结果。	正在运行	自动(延迟启动)	本地系统
Windows Time	维护在网络上的所有客户端和服务器的时间和日期同步。如果此服务被停止，时间和日期的同步将不可用。如果此服务被禁用，任何明确依赖它的服务都将不能启动。		手动(触发器启动)	本地服务
Windows 备份	提供 Windows 备份和还原功能。		手动	本地系统
Windows 感知模拟服务	实现空间感知模拟、虚拟相机管理和空间输入模拟。		手动	本地系统
Windows 更新	启用检测、下载和安装 Windows 和其他程序的更新。如果此服务被禁用，这台计算机的用户将无法使用 Windows 更新或其自动更新功能， 并且这些程序将无法使用 Windows 更新代理(WUA) API。	正在运行	手动(触发器启动)	本地系统
Windows 管理服务	执行包括预配和注册活动的管理操作		手动	本地系统
Windows 健康状况和优化体验	监视设备以获得更好的用户体验		禁用	本地系统
Windows 推送通知系统服务	此服务在会话 0 中运行，并托管通知平台和连接提供程序(用于处理设备与 WNS 服务器之间的连接)。	正在运行	自动	本地系统
Windows 虚拟音频设备代理服务	管理基于 Windows 的程序的虚拟音频设备。 如果停止此服务，虚拟音频设备将无法正常工作。 如果禁用此服务，任何明确依赖它的服务将无法启动		手动(触发器启动)	本地服务
Windows 许可证管理器服务	为 Microsoft Store 提供基础结构支持。此服务按需启动，如果禁用此服务，则通过 Microsoft Store 获得的内容将无法正常运行。	正在运行	手动(触发器启动)	本地服务
Windows 移动热点服务	提供与其他设备共享手机网络数据连接的功能。		手动(触发器启动)	本地服务
Windows 预览体验成员服务	为 Windows 预览体验计划提供基础结构支持。此服务必须保持启用状态，Windows 预览体验计划才能正常运行。		手动(触发器启动)	本地系统
WinHTTP Web Proxy Auto-Discovery Service	WinHTTP 实现了客户端 HTTP 堆栈并向开发人员提供 Win32 API 和 COM 自动化组件以供发送 HTTP 请求和接收响应。此外，通过执行 Web 代理自动发现(WPAD)协议，WinHTTP 还提供对自动发现代理服务器配置的支持。	正在运行	手动	本地服务
Wired AutoConfig	有线自动配置(DOT3SVC)服务负责对以太网接口执行 IEEE 802.1X 身份验证。如果当前有线网络部署强制执行 802.1X 身份验证，则应配置 DOT3SVC 服务运行以用于建立第 2 层连接性和/或用于提供对网络资源的访问权限。DOT3SVC 服务会影响到强制执行 802.1X 身份验证的有线网络。		手动	本地系统
WLAN AutoConfig	WLANSVC 服务提供配置、发现、连接、断开与 IEEE 802.11 标准定义的无线局域网(WLAN)的连接所需的逻辑。它还包含将计算机变成软件访问点的逻辑，以便其他设备或计算机可以使用支持它的 WLAN 适配器无线连接到计算机。停止或禁用 WLANSVC 服务将使得计算机上的所有 WLAN 适配器无法访问 Windows 网络连接 UI。强烈建议: 如果你的计算机具有 WLAN 适配器，则运行 WLANSVC 服务。	正在运行	自动	本地系统
WLAN Direct 服务连接管理器服务	管理与无线服务(包括无线显示和插接)的连接。		手动(触发器启动)	本地服务
WMI Performance Adapter	向网络上的客户端提供 Windows Management Instrumentation (WMI) 提供程序中的性能库信息。只有在激活了性能数据助手时，才会运行此服务。		手动	本地系统
Work Folders	此服务将与工作文件夹服务器同步文件，从而使你能够使用已设置工作文件夹的任何电脑和设备上的文件。		手动	本地服务
Workstation	使用 SMB 协议创建并维护客户端网络与远程服务器之间的连接。如果此服务已停止，这些连接将无法使用。如果此服务已禁用，任何明确依赖它的服务将无法启动。	正在运行	自动	网络服务
WPS Office Cloud Service	用于提供WPS Office云服务：包括云文档、文档安全、会员服务等多种云资源，为用户提供完整及安全的产品体验，及时更新产品功能及修复问题。如果停止此服务，则WPS Office无法提供云服务，和及时修复安全漏洞。		手动	本地系统
WSAIFabricSvc	支持通过 COM 在本地服务上下文中与 AIFabric 通信。	正在运行	自动	本地服务
WSL Service	WSL Service	正在运行	自动	本地系统
WWAN AutoConfig	该服务管理移动宽带(GSM 和 CDMA)数据卡/嵌入式模块适配器和自动配置网络的连接。强烈建议: 保持运行此服务，以便获取移动宽带设备的最佳用户体验。		手动	本地系统
Xbox Accessory Management Service	This service manages connected Xbox Accessories.		手动(触发器启动)	本地系统
Xbox Live 身份验证管理器	提供用于与 Xbox Live 进行交互的身份验证和授权服务，如果此服务被停止，可能会造成某些应用程序无法正确操作。		手动	本地系统
Xbox Live 网络服务	此服务支持 Windows.Networking.XboxLive 应用程序编程接口。		手动	本地系统
Xbox Live 游戏保存	此服务为 Xbox Live 可保存游戏同步保存数据。如果此服务被停止，游戏保存数据将不会上传至 Xbox Live 或从 Xbox Live 下载。		手动(触发器启动)	本地系统
XTUOCDriverService	Intel(R) Overclocking Component Service		自动	本地系统
ZTDNS 帮助程序服务	ZTDNS 帮助程序服务		手动	本地系统
本地配置文件助手服务	此服务为订户标识模块提供配置文件管理		手动(触发器启动)	本地服务
打印设备配置服务	打印设备配置服务管理 IPP 和 UP 打印机的安装。如果停止此服务，则可能取消任何正在进行的打印机安装。		手动(触发器启动)	本地系统
抖音客户端性能优化服务	抖音客户端性能优化服务		手动	本地系统
付款和 NFC/SE 管理器	管理付款和基于近场通信(NFC)的安全元件。		手动(触发器启动)	本地服务
更新 Orchestrator 服务	管理 Windows 更新。如果停止，你的设备将无法下载和安装最新更新。	正在运行	自动(延迟启动)	本地系统
功能访问管理器服务	提供设施，用于管理 UWP 应用对应用功能的访问权限以及检查应用的特定应用功能访问权限	正在运行	自动	本地系统
家长控制	对 Windows 中的子帐户强制执行家长控制。如果此服务被停止或禁用，家长控制可能无法强制执行。		手动	本地系统
剪贴板用户服务_128812	此用户服务用于剪贴板方案	正在运行	自动(延迟启动)	本地系统
建议疑难解答服务	通过应用建议疑难解答启用针对已知问题的自动缓解。如果停止，你的设备将不会获得针对设备上问题的建议疑难解答。		手动	本地系统
聚合数据平台服务	此服务用于聚合数据平台方案。		手动	本地服务
蓝牙音频网关服务	支持蓝牙免提配置文件的音频网关角色的服务。	正在运行	手动(触发器启动)	本地服务
蓝牙用户支持服务_128812	蓝牙用户服务支持与每个用户会话相关的蓝牙功能的正确运行。	正在运行	手动(触发器启动)	本地系统
蓝牙支持服务	蓝牙服务支持发现和关联远程蓝牙设备。停止或禁用此服务可能会导致已安装的蓝牙设备无法正常运行，并使新设备无法被发现或关联。	正在运行	手动(触发器启动)	本地服务
连接设备平台服务	此服务用于连接设备平台方案	正在运行	自动(延迟启动，触发器启动)	本地服务
连接设备平台用户服务_128812	此用户服务用于连接设备平台方案	正在运行	自动	本地系统
零售演示服务	当设备处于零售演示模式时，零售演示服务将控制设备活动。		手动	本地系统
嵌入模式	嵌入式服务启用与后台应用程序相关的方案。禁用此服务会阻止激活后台应用程序。		手动(触发器启动)	本地系统
清单和兼容性评估服务	此服务执行许多系统组件使用的后台系统清单、兼容性评估和维护。	正在运行	自动(延迟启动)	本地系统
设备管理无线应用程序协议 (WAP) 推送消息路由服务	路由设备收到的无线应用程序协议 (WAP) 推送消息并同步设备管理会话		禁用	本地系统
设备管理注册服务	为设备管理执行设备注册活动		手动	本地系统
手机网络时间	此服务基于移动网络中的 NITZ 消息设置时间		手动(触发器启动)	本地服务
数据使用量	网络数据使用量，流量上限，限制背景数据，按流量计费的网络。	正在运行	自动	本地服务
同步主机_128812	此服务将同步邮件、联系人、日历和各种其他用户数据。此服务没有运行时，依赖于此功能的邮件和其他应用程序将无法正常工作。	正在运行	自动(延迟启动)	本地系统
网络位置感知	收集和存储网络的配置信息，并在此信息被修改时向程序发出通知。如果停止此服务，则配置信息可能不可用；如果禁用此服务，则显式依赖此服务的所有服务都将无法启动。		手动	网络服务
网络虚拟服务	提供网络虚拟服务。	正在运行	手动	本地系统
无线电管理服务	无线电管理和飞行模式服务	正在运行	手动	本地服务
显示策略服务	管理本地和远程显示器的连接和配置	正在运行	自动	本地服务
显示增强服务	用于管理显示增强(如亮度控制)的服务。	正在运行	手动(触发器启动)	本地系统
移动连接管理服务	此服务为移动连接模块提供配置文件管理		手动(触发器启动)	NT SERVICE\McmSvc
已声明的配置(DC)服务	处理从 MDM 和其他通道接收的已声明配置文档，并在设备上执行配置		手动(触发器启动)	本地系统
语言体验服务	为部署和配置 Windows 本地化资源提供基础结构支持。此服务将按需启动，如果禁用，其他 Windows 语言将不会部署到系统，Windows 可能无法正常工作。		手动	本地系统
云备份和还原服务_128812	监视系统以了解应用程序和设置状态更改，并在需要时执行云备份和还原操作。		手动	本地系统
正在播放会话管理器服务_128812	此服务托管用于媒体方案的正在播放会话管理器		手动	本地系统
主机网络服务	为 Windows 虚拟网络提供支持。	正在运行	手动(触发器启动)	本地系统
自动时区更新程序	自动设置系统时区。		禁用	本地服务
自然身份验证	信号聚合器服务，用于根据时间、网络、地理位置、蓝牙和 CDF 因素评估信号。支持的功能包括设备解锁、动态锁定和动态 MDM 策略		手动(触发器启动)	本地系统
